Task,Average,Links to Procedures
,,
Rear Motor Assembly,3:39,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-RearMotor__03.pptx
Front Motor Assembly,2:32,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-FrontMotor__05.pptx
Speed Sensor Assembly,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-SpeedSensor__01.pptx
Front Transaxle/Motor,9:48,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontTransaxle-Motor__08.pptx
Rear Transaxle/Motor,7:32,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RearTransaxle-Motor__08.pptx
Rear(Transaxle) Frame Mounting Brackets,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Rear(Transaxle)FrameMountingBrackets__01.pptx
QC Checklist,2:32,
In-Bound Inspection,1:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 2_00.pptx
Front Transaxle Fittings Assembly ,2:38,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-FrontTransaxleFittings__01.pptx
Connector Links,3:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ConnectorLinks__04.pptx
Motor- Transaxle Fittings,4:03,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520MotorTransaxleFittings_01.pptx
Front Frame,3:55,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontFrame__01.pptx
High-Low Shift Lever Front and Rear,4:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520High-LowShiftLeverFrontandRear__00.pptx
Brake Band Assembly,5:02,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-BrakeBand__00.pptx
QC Checklist,0:00,
In-Bound Inspection,0:48,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 3_00.pptx
Brake Band Install ,4:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BrakeBand__02.pptx
25 Micron Filter Head Assembly,3:12,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-25MicronFilterHead__01.pptx
25 Micron Filter Head Install,2:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452025MicronFilterHead Install__01.pptx
High Pressure Lower Font Motor Fitting ,0:50,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HighPressureLowerFontMotorFitting__01.pptx
Rear Upper and Lower Frame,6:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RearUpperandLowerFrame__02.pptx
Rear Hitch Mounts Brace,0:43,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RearHitchMountsBrace__00.pptx
Standard and Optional 3-Point Rear Hitch,2:39,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520StandardandOptional3-pointRearHitch__01.pptx
Center Main Pivot Mount,3:02,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520CenterMainPivotMount__00.pptx
QC Checklist,1:02,
In-Bound Inspection,0:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 4_01.pptx
Front-Rear Connector Link,3:13,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Front-RearConnectorLink__00.pptx
Hydraulic Pump Assembly,9:48,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-HydraulicPump__04.pptx
Hydraulic Pump Install,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HydraulicPumpInstall__00.pptx
Suction Tube,1:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SuctionTube_00.pptx
Front Transaxle Cap,1:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontTransaxleCap__00.pptx
Pro Front Transaxle Relief Hose,0:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProFrontTransaxleReliefHose_00.pptx
Center Trim Loc,0:52,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520CenterTrimLoc__00.pptx
Steering Cylinder Assembly,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-SteeringCylinder__00.pptx
Steering Cylinder Install,1:45,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringCylinder__00.pptx
Front Hitch,3:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontHitch__00.pptx
Lift Cylinder Assembly,1:32,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-LiftCylinder__00.pptx
Lift Cylinder Install,1:21,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LiftCylinder__00.pptx
Relief Hose Transaxle Fitting,1:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ReliefHoseTransaxleFitting__01.pptx
QC Checklist,1:56,
In-Bound Inspection,1:25,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 5_01.pptx
Brass Inserts,2:47,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520BrassInserts__00.pptx
Front Frame U-nuts,1:05,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontFrameU-nuts__00.pptx
Standard and Optional 3-Point Skid Plate,2:07,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520StandardandOptional3PointSkidPlate__00.pptx
Front Frame Grommets,1:05,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontFrameGrommets__00.pptx
Canvas Velcro,0:43,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520CanvasVelcro__00.pptx
Hood Latches,1:33,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HoodLatches__00.pptx
Engine Oil Drain Mount,2:16,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520EngineOilDrainMount__00.pptx
RPM Sensor Assembly,2:22,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-RPMSensor__00.pptx
RPM Sensor Install,0:48,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RPMSensor__00.pptx
Circuit Breaker,1:19,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520CircuitBreaker__02.pptx
32.0250 Harness Routing Pre-Hose,2:15,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452032.0250HarnessRoutingPre-Hose__01.pptx
High-Low Shift Lock Bracket,1:22,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520High-LowShiftLockBracket__00.pptx
Grease Points,1:21,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520GreasePoints__00.pptx
QC Checklist,,
In-Bound Inspection,1:09,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 6_01.pptx
Priority Valve Block,1:38,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-PriorityValveBlock__00.pptx
Priority Valve and Front Ground Bolt Install,2:34,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PriorityValveandFrontGroundBolt__01.pptx
Pump to Front Motor Hose,1:59,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PumptoFrontMotorHose__01.pptx
Rear Motor Hoses ,4:20,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RearMotorHoses__02.pptx
Optional 3pt Cylinder,4:20,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Optional3ptCylinder__00.pptx
Optional 3 Point Cylinder and Grease Fittings,1:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3PointCylinderandGreaseFittings__00.pptx
Weight Transfer ,4:17,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520WeightTransfer__02.pptx
QC Checklist,1:39,
Trim,0:52,
In-Bound Inspection,1:35,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 7_00.pptx
10 Micron Filter Head Assembly,2:50,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-10MicronFilterHead__00.pptx
10 Micron Filter Head Install,1:25,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452010MicronFilterHead__00.pptx
Seat Box,12:45,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SeatBox__02.pptx
Seat Box Taillights,3:20,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-SeatboxTaillights__01.pptx
Hydraulic Cooler and Fan Assembly,5:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-OIlCoolerandFan__01.pptx
Hydraulic Cooler Install,1:22,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HydraulicCooler__00.pptx
Pro 3rd Aux Function Install,1:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Pro3rdAuxFunctionInstall_00.pptx
QC Checklist,2:16,
In-Bound Inspection,2:00,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 8_00.pptx
2-Spool Valve & SDLA Links Assembly ,6:11,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-2SpoolValveSDLALinks__02.pptx
SDLA Pivot Arm and Lever Assembly,4:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-SDLAPivotArm__00.pptx
Pro SDLA Pivot Arm and Lever Assembly,4:18,
Motor to motor hose W/ Clamp,3:03,
2-Spool Valve and SDLA Pivot Install,5:04,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN45202-SpoolValveandS.D.L.APivotInstall__00.pptx
Hydraulic Cooler Hoses,2:13,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520OilCoolerHoses__01.pptx
Optional CE Front Lift Valve Assembly,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-OptionalCEFrontLiftValve__01.pptx
Optional CE Front Lift Valve Install,,
QC Checklist,1:35,
In-Bound Inspection,1:01,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 9_00.pptx
Relief Hose Cover and Frame Clamp,1:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ReliefHoseCoverandFrameClamp__00.pptx
Front Transaxle to Expansion Tank Hose,0:36,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontTransaxletoExpansionTankHose__00.pptx
Auxiliary Quick Couplers Assembly,1:26,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-QuickCouplersAux__00.pptx
Front Aux Couplers Install,0:27,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontAuxCouplersInstall__00.pptx
Front Aux Hoses ,2:25,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520FrontAuxHoses__00.pptx
Pro Dual Aux Install,2:30,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProDualAuxInstall_00.pptx
Pro Dual Aux Hose Routing,5:50,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProDualAuxHoseRouting_00.pptx
Lift Cylinder and Steering Supply Hoses ,4:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520LiftCylinderandSteeringSupplyHoses__03.pptx
Pro Lift Cylinder and Steering Supply Hoses,4:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProLiftCylinderandSteeringSupplyHoses_00.pptx
10 Micron Filter To Rear Motor Hose,1:04,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN452010MicronFilterToRearMotorHose_00.pptx
Pro Relief Hose And Aux Hoses,0:35,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProReliefHoseandAuxHoses_00.pptx
Optional 3pt Couplers Assembly,2:31,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Optional3ptCouplers__00.pptx
Optional 3pt Hitch Couplers Install,2:06,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3-pointHitchCouplers__00.pptx
Inner Toolbox Panel Assembly,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-InnerToolboxPanel__00.pptx
Inner Toolbox Panel Install,0:12,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520InnerRightBoxPanel__01.pptx
QC Checklist,0:19,
In-Bound Inspection,0:59,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 10_00.pptx
Right Panel Fuse Box and Wire Install,0:57,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520RightPanelFuseBoxandWireInstall__00.pptx
Pro 12V Adjustment and Connections,0:20,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Pro12VAdjustmentandConnections_00.pptx
Standard Front Right Panel ,1:58,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520StandardFrontRightPanel__00.pptx
Optional 3-point Front Right Panel ,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3-pointFrontRightPanel__01.pptx
Optional 3-Point Lift Cylinder Hoses ,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3PointLiftCylinderHoses__00.pptx
Dash Assembly,11:46,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-Dash__05.pptx
Dash Install,1:18,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520DashInstall__01.pptx
Steering Hoses Trim Loc ,0:16,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringHosesTrimLoc__00.pptx
Pump Case Drain,1:55,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PumpCaseDrain__00.pptx
QC Checklist,0:35,
In-Bound Inspection,0:34,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\In-Bound Inspection Station 11_00.pptx
Charge Hose,1:53,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ChargeHose_00.pptx
PET Hoses To Steering Valve,3:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PETHosesToSteeringValve_02.pptx
SDLA Assembly,4:18,
Pro Fuse and Relay Install,0:40,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520ProFuseandRelayInstall_00.pptx
Steering Cylinder Hoses,3:04,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520SteeringCylinderHoses__00.pptx
Pump Discharge Hoses,1:08,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520PumpDischarge_00.pptx
Hydraulic Oil Tank Assembly,3:17,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520-Sub-OilTank__00.pptx
Hydraulic Oil Tank Install,3:21,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520HydraulicOilTank__02.pptx
Gauge Cluster,0:23,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520GaugeCluster__01.pptx
Optional 3-point Hoses,,Q:\ASSEMBLY\POWERUNITS\KN4520\Assembly Procedures\Current Assembly Procedures\KN4520Optional3-pointhoses__01.pptx
QC Checklist,0:31,
